cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
11500,20240101,0.6620,0.6620,0.0000,Anniston-Oxford AL
11540,20240101,0.9339,0.9339,0.0000,Appleton WI
11640,20240101,0.3118,0.3118,0.0000,Arecibo PR
11700,20240101,0.8360,0.8171,0.0000,Asheville NC
12020,20240101,0.8832,0.8832,0.0000,Athens-Clarke County GA
12060,20240101,0.9831,0.9541,0.0000,Atlanta-Sandy Springs-Alpharetta GA
12100,20240101,1.1243,1.1243,0.0000,Atlantic City-Hammonton NJ
12220,20240101,0.6659,0.6659,0.0000,Auburn-Opelika AL
12260,20240101,0.8086,0.8086,0.0000,Augusta-Richmond County GA-SC
12420,20240101,0.8980,0.8682,0.0000,Austin-Round Rock-Georgetown TX
12540,20240101,1.1407,1.1407,0.0000,Bakersfield CA
12580,20240101,0.9605,0.9605,0.0000,Baltimore-Columbia-Towson MD
12620,20240101,0.9127,0.9127,0.0000,Bangor ME
12700,20240101,1.1064,1.1064,0.0000,Barnstable Town MA
12940,20240101,0.8060,0.7829,0.0000,Baton Rouge LA
12980,20240101,0.8612,0.8445,0.0000,Battle Creek MI
13020,20240101,0.8919,0.8919,0.0000,Bay City MI
13140,20240101,0.8805,0.8497,0.0000,Beaumont-Port Arthur TX
13220,20240101,0.7869,0.7869,0.0000,Beckley WV
13380,20240101,1.2751,1.2751,0.0000,Bellingham WA
13460,20240101,1.0460,1.0460,0.0000,Bend OR
13740,20240101,0.8830,0.8830,0.0000,Billings MT
13780,20240101,0.8542,0.8542,0.0000,Binghamton NY
13820,20240101,0.7678,0.7477,0.0000,Birmingham-Hoover AL
13900,20240101,0.8809,0.8809,0.0000,Bismarck ND
13980,20240101,0.8287,0.7684,0.0000,Blacksburg-Christiansburg VA
14010,20240101,0.8443,0.8307,0.0000,Bloomington IL
14020,20240101,0.8931,0.8931,0.0000,Bloomington IN
14100,20240101,0.8379,0.8379,0.0000,Bloomsburg-Berwick PA
14260,20240101,0.9136,0.9136,0.0000,Boise City ID
14454,20240101,1.1484,1.1033,0.0000,Boston MA
14500,20240101,0.9815,0.9815,0.0000,Boulder CO
14540,20240101,0.8692,0.8692,0.0000,Bowling Green KY
14740,20240101,1.2506,1.2382,0.0000,Bremerton-Silverdale-Port Orchard WA
