cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
50,20230101,1.0388,1.0388,0,WASHINGTON
51,20230101,0.7268,0.7268,0,WEST VIRGINIA
52,20230101,0.8647,0.8647,0,WISCONSIN
53,20230101,1,0.9264,0,WYOMING
98,20230101,1.9343,1.9343,0,ALASKA INDIAN
99,20230101,1.4448,1.4448,0,LOWER-48 INDIAN
10180,20230101,0.8502,0.8323,0,Abilene TX
10380,20230101,0.2847,0.2847,0,Aguadilla-Isabela PR
10420,20230101,0.8186,0.8186,0,Akron OH
10500,20230101,0.8439,0.8192,0,Albany GA
10540,20230101,1.0817,1.0817,0,Albany-Lebanon OR
10580,20230101,0.8076,0.8076,0,Albany-Schenectady-Troy NY
10740,20230101,0.9065,0.9065,0,Albuquerque NM
10780,20230101,0.8589,0.8384,0,Alexandria LA
10900,20230101,0.9697,0.9375,0,Allentown-Bethlehem-Easton PA-NJ
11020,20230101,0.835,0.835,0,Altoona PA
11100,20230101,0.7959,0.7959,0,Amarillo TX
11180,20230101,0.8633,0.8633,0,Ames IA
11244,20230101,1.2517,1.2291,0,Anaheim-Santa Ana-Irvine CA
11260,20230101,1.1752,1.1752,0,Anchorage AK
11460,20230101,1.0293,0.9344,0,Ann Arbor MI
11500,20230101,0.6702,0.6702,0,Anniston-Oxford AL
11540,20230101,0.9503,0.9503,0,Appleton WI
11640,20230101,0.3327,0.3327,0,Arecibo PR
11700,20230101,0.8188,0.8188,0,Asheville NC
12020,20230101,0.8747,0.8747,0,Athens-Clarke County GA
12060,20230101,0.9363,0.919,0,Atlanta-Sandy Springs-Alpharetta GA
12100,20230101,1.0844,1.074,0,Atlantic City-Hammonton NJ
12220,20230101,0.6779,0.6779,0,Auburn-Opelika AL
12260,20230101,0.8371,0.8371,0,Augusta-Richmond County GA-SC
12420,20230101,0.9283,0.888,0,Austin-Round Rock-Georgetown TX
12540,20230101,1.1716,1.1716,0,Bakersfield CA
12580,20230101,0.9422,0.9422,0,Baltimore-Columbia-Towson MD
12620,20230101,0.9319,0.9319,0,Bangor ME
12700,20230101,1.1931,1.1931,0,Barnstable Town MA
12940,20230101,0.7887,0.7718,0,Baton Rouge LA
12980,20230101,0.9308,0.9013,0,Battle Creek MI
13020,20230101,0.9213,0.9075,0,Bay City MI
13140,20230101,0.8485,0.8485,0,Beaumont-Port Arthur TX
13220,20230101,0.775,0.775,0,Beckley WV
13380,20230101,1.172,1.172,0,Bellingham WA
13460,20230101,1.0866,1.0866,0,Bend OR
13740,20230101,0.8807,0.8807,0,Billings MT
13780,20230101,0.8448,0.8448,0,Binghamton NY
13820,20230101,0.7907,0.7606,0,Birmingham-Hoover AL
13900,20230101,0.85,0.85,0,Bismarck ND
13980,20230101,0.8425,0.7756,0,Blacksburg-Christiansburg VA
14010,20230101,0.9225,0.8834,0,Bloomington IL
14020,20230101,0.9377,0.9377,0,Bloomington IN
14100,20230101,0.8841,0.868,0,Bloomsburg-Berwick PA
14260,20230101,0.9516,0.9516,0,Boise City ID
14454,20230101,1.1829,1.1339,0,Boston MA
14500,20230101,0.9904,0.9904,0,Boulder CO
14540,20230101,0.8515,0.8515,0,Bowling Green KY
14740,20230101,1.2316,1.2316,0,Bremerton-Silverdale-Port Orchard WA
14860,20230101,1.3751,1.3751,0,Bridgeport-Stamford-Norwalk CT
15180,20230101,0.8427,0.8427,0,Brownsville-Harlingen TX
15260,20230101,0.8722,0.857,0,Brunswick GA
15380,20230101,1.0258,0.9796,0,Buffalo-Cheektowaga NY
15500,20230101,0.9824,0.9824,0,Burlington NC
15540,20230101,0.9572,0.9447,0,Burlington-South Burlington VT
15680,20230101,0.904,0.904,0,California-Lexington Park MD
15764,20230101,1.0705,1.0705,0,Cambridge-Newton-Framingham MA
15804,20230101,1.0466,1.0466,0,Camden NJ
15940,20230101,0.7743,0.7743,0,Canton-Massillon OH
15980,20230101,0.9009,0.9009,0,Cape Coral-Fort Myers FL
16020,20230101,0.7913,0.7913,0,Cape Girardeau MO-IL
16060,20230101,0.8255,0.7949,0,Carbondale-Marion IL
16180,20230101,0.9686,0.9686,0,Carson City NV
16220,20230101,0.9807,0.9807,0,Casper WY
16300,20230101,0.8539,0.8414,0,Cedar Rapids IA
16540,20230101,1.1035,1.0842,0,Chambersburg-Waynesboro PA
16580,20230101,0.8976,0.8976,0,Champaign-Urbana IL
16620,20230101,0.8568,0.8365,0,Charleston WV
16700,20230101,0.9103,0.894,0,Charleston-North Charleston SC
16740,20230101,0.9485,0.9363,0,Charlotte-Concord-Gastonia NC-SC
16820,20230101,0.9141,0.8885,0,Charlottesville VA
16860,20230101,0.8446,0.8287,0,Chattanooga TN-GA
16940,20230101,0.9117,0.9117,0,Cheyenne WY
16984,20230101,1.038,1.0219,0,Chicago-Naperville-Evanston IL
17020,20230101,1.0871,1.0871,0,Chico CA
